深圳农商-通用产品（预约转线下模式）,,,,,
所属组件,业务阶段,业务步骤,,,
用户注册组件,1、客户注册认证,客户注册,用户注册组件,,
,,认证操作,用户注册组件,,
营销方案管理组件,2、客户查询产品信息,产品列表查询,营销方案管理组件,,
,,产品详情查看,营销方案管理组件,,
,,查询利率优惠券（服务）用于产品页面展示该产品可用的优惠券,利率组件,,
,,查询合同可用金额（服务）用于产品页面展示该产品的剩余可提款金额度,合同管理组件,,
,,查询额度可用金额（服务）用于产品页面展示该产品的剩余可用额度,额度管理组件,,
,,查询预授信额度（服务）用于产品页面展示该产品的预计可贷款金额,预授信组件,,
,,查询产品最高可贷额度（服务）用于产品页面展示该产品最高可贷款金额,产品管理组件,,
,,点击申请进入预授信申请页面,贷款申请组件,,
预授信组件,2、预授信申请,初始化预授信申请页面,营销方案管理组件,,
,,填写预授信申请信息,预授信组件,,
,,调用风控中心执行规则包，（业务准入规则包：反欺诈、黑名单/白名单、产品参数准入）,智能决策组件,,
,,是否授权？,,,
,,1、客户选择是,,,
,,1.1人脸识别操作,人脸识别组件,,
,,1.2查看需要授权的文件（服务）征信查询授权,授权配置管理组件,,
,,1.3加载查看协议文件,合同（协议）模版管理组件,,
,,1.4验证短信验证码,消息中心组件,,
,,1.5签订授权协议（服务）,电子签约平台,,
,,1.1、提交预授信申请,进件管理组件,,
,,2、客户选择否,,,
,,2.1、提交预授信申请,进件管理组件,,
进件管理组件,3、系统进件接收,进件接收保存进件信息生成进件任务,进件管理组件,,
,,是否授权？,,,
,,1、是,,,
,,1.1、查询授权配置管理确认需要执行的风控规则,授权配置管理组件,,
,,1.2、调用风控中心执行规则包（客户准入规则包：客户征信和大数据准入、关联人的征信和大数据准入）,智能决策组件,,
,,规则执行通过，进件自动分配,进件管理组件,,
,,规则执行不通过，提示无法发起业务申请,进件管理组件,,
,,2、否,,,
,,2.1进件自动分配,进件管理组件,,
,,进件中心点击客户信息创建按钮进入客户信息创建页面,进件管理组件,,
客户管理组件,5、客户经理个人客户创建,填写客户信息,客户管理组件,,
,,保存客户信息,客户管理组件,,
,,保存客户信息,,,
授信管理组件,6、客户经理线下办理三合一任务,进件受理线下业务,初始化三合一任务,,
,,评级信息填写,评级管理组件,,
,,授信信息填写,授信管理组件,,
,,测算额度结果,智能决策组件,,
,,用信信息填写,用信管理组件,,  
,,客户风控准入,智能决策组件,,
,,三合一业务提交,授信管理组件,,
,7、有权审批人进行业务审查审批,业务审批完成,授信管理组件,,
,,生成合同信息,合同管理组件,,
,,生成签约任务,签约组件,,
签约组件,8、客户在线签定借款合同信息,发起签约任务,签约组件,,
,,客户风控准入,智能决策组件,,
,,人脸识别操作,人脸识别组件,,
,,查看需要签订的合同,签约组件,,
,,加载查看合同模板,合同（协议）模版管理组件,,
,,验证短信验证码,消息中心组件,,
,,签订借款合同,电子签约平台,,
,,更新用信信息,用信管理组件,,
,,更新授信信息同步额度,授信管理组件,,
,,更新评级信息,评级管理组件,,
,,更新合同信息,合同管理组件,,
,,更新签约状态,签约组件,,
,,更新进件状态,进件管理组件,,
放款组件,9、客户发起提款申请,发起提款申请初始化提款申请页面,营销方案管理组件,,
,,填写提款申请信息,放款组件,,
,,输入提款密码,安全组件,,
,,客户风控准入,智能决策组件,,
,,人脸识别操作,人脸识别组件,,
,,验证短信验证码,消息中心组件,,
,,签订放款申请书完成调用核心系统放款,核心系统,,
,,更新进件信息,进件管理组件,,
,10、涉及受托支付的需要人工审批,,放款组件,,
还款组件,11、客户发起还款申请,,还款组件,,
