湖南农信-公积金贷款,,,,,
所属组件,业务阶段,业务步骤,被调用组件,,
预授信组件,1、预授信申请,客户经理维护预产品授信白名,,,
,,调用模式测算出预期授信额度,智能决策组件,,
营销方案管理组件,2、分享营销产品,客户经理分享营销产品二维码,营销方案管理组件,,
,,客户微信扫描二维码,营销方案管理组件,,
营销方案管理组件,3、客户查询产品信息,产品列表查询,营销方案管理组件,,
,,产品详情查看,营销方案管理组件,,
,,查询利率优惠券（服务）用于产品页面展示该产品可用的优惠券,利率组件,,
,,查询合同可用金额（服务）用于产品页面展示该产品的剩余可提款金额度,合同管理组件,,
,,查询额度可用金额（服务）用于产品页面展示该产品的剩余可用额度,额度管理组件,,
,,查询预授信额度（服务）用于产品页面展示该产品的预计可贷款金额,预授信组件,,
,,查询产品最高可贷额度（服务）用于产品页面展示该产品最高可贷款金额,产品管理组件,,
,,点击申请进入贷款申请页面,贷款申请组件,,
贷款申请组件,3、客户发起贷款申请,初始化贷款申请页面（服务）,营销方案管理组件,,
,,填写贷款申请信息,贷款申请组件,,
,,调用风控中心执行规则包，（业务准入规则包：反欺诈、黑名单/白名单、产品参数准入）,智能决策组件,,
,,人脸识别操作,人脸识别组件,,
,,"查看需要授权的文件（服务）
征信查询授权
公积金查询授权",授权配置管理组件,,
,,加载查看协议文件,合同（协议）模版管理组件,,
,,验证短信验证码,消息中心组件,,
,,签订授权协议（服务）,电子签约平台,,
,,提交贷款申请操作,进件管理组件,,
,,系统自动注册客户,用户注册组件,,
,,系统自动认证客户,用户注册组件,,
,,调用进件组件,进件管理组件,,
进件管理组件,4、系统进件接收,进件接收,进件管理组件,,
,,调用客户管理组件创建客户,客户管理组件,,
,,查询授权配置管理确认需要执行的风控规则,授权配置管理组件,,
,,调用风控中心执行规则包（客户准入规则包：客户征信和大数据准入、关联人的征信和大数据准入）,智能决策组件,,
,,调用评级模型生成评级结果,评级管理组件,,
,,调用风控中心执行规则包（额度测算模型），测算额度结果,智能决策组件,,
,,根据额度测算结果判断，执行场景1，还是场景2,进件管理组件,,
,,初始化授信申请信息,授信管理组件,,
,,初始化用信申请信息,用信管理组件,,
,,场景1：20W以下线上直接签约,,,
,,场景1：初始化合同信息,合同管理组件,,
,,场景1：初始化签约任务,签约组件,,  
,,场景1：进件自动分配,进件管理组件,,
,,场景2：20W以上转人工调查,,,
,,场景2：进件自动分配,进件管理组件,,
,,场景2：客户经理手工受理进件信息，生成评级、授信、用信三合一任务,授信管理组件,,
客户管理组件,5、客户经理个人客户创建,填写客户信息,客户管理组件,,
,,保存客户信息,,,
授信管理组件,6、客户经理线下办理三合一任务,进件受理线下业务,初始化三合一任务,,
,,评级信息填写,评级管理组件,,
,,授信信息填写,授信管理组件,,
,,测算额度结果,智能决策组件,,
,,用信信息填写,用信管理组件,,
,,客户风控准入,智能决策组件,,
,,三合一业务提交,授信管理组件,,
,7、有权审批人进行业务审查审批,业务审批完成,授信管理组件,,
,,生成合同信息,合同管理组件,,
,,生成签约任务,签约组件,,
签约组件,8、客户在线签定借款合同信息,发起签约任务,签约组件,,
,,客户风控准入,智能决策组件,,
,,人脸识别操作,人脸识别组件,,
,,查看需要签订的合同,签约组件,,
,,加载查看合同模板,合同（协议）模版管理组件,,
,,验证短信验证码,消息中心组件,,
,,签订借款合同,电子签约平台,,
,,更新用信信息,用信管理组件,,
,,更新授信信息同步额度,授信管理组件,,
,,更新评级信息,评级管理组件,,
,,更新合同信息,合同管理组件,,
,,更新签约状态,签约组件,,
,,更新进件状态,进件管理组件,,
放款组件,9、客户发起提款申请,发起提款申请初始化提款申请页面,营销方案管理组件,,
,,填写提款申请信息,放款组件,,
,,输入提款密码,安全组件,,
,,客户风控准入,智能决策组件,,
,,人脸识别操作,人脸识别组件,,
,,验证短信验证码,消息中心组件,,
,,签订放款申请书完成调用核心系统放款,核心系统,,
,,更新进件信息,进件管理组件,,
,10、涉及受托支付的需要人工审批,,放款组件,,
还款组件,11、客户发起还款申请,,还款组件,,
