湖北农信-公积金贷款-线上模式,,,
所属组件,业务阶段,业务步骤,被调用组件
用户注册组件,1、客户注册,客户注册,用户注册组件
,,认证操作,用户注册组件
,,临时客户创建,客户管理组件
营销方案管理组件,2、查询产品信息,产品列表查询,营销方案管理组件
,,产品详情查看,营销方案管理组件
,,查询利率优惠券（服务）,利率组件
,,查询额度可用金额（服务）,额度管理组件
,,查询合同可用金额（服务）,合同管理组件
,,查询产品最高可贷额度（服务）,产品管理组件
贷款申请组件,3、客户发起贷款申请,初始化贷款申请页面（服务）,贷款申请组件
,,填写贷款申请信息,贷款申请组件
,,补充临时客户信息,客户管理组件
,,人脸识别操作,人脸识别组件
,,"查看需要授权的文件（服务）
征信查询授权
公积金查询授权",授权配置管理组件
,,加载查看协议文件,合同（协议）模版管理组件
,,验证短信验证码,消息中心组件
,,签订授权协议（服务）,签约组件
,,提交贷款申请操作,进件管理组件
进件管理组件,4、进件接收,进件接收,进件管理组件
,,补充临时客户信息,客户管理组件
,,客户风控准入,智能决策组件
,,R1-通过：生成签约任务,签约组件
,,R3-转人工：线下受理,进件管理组件
,,进件自动分配,进件管理组件
签约组件,5、客户在线签定借款合同信息,发起签约任务,签约组件
,,客户风控准入,智能决策组件
,,人脸识别操作,人脸识别组件
,,查看需要签订的合同,签约组件
,,加载查看合同模板,合同（协议）模版管理组件
,,验证短信验证码,消息中心组件
,,签订授权协议（服务）,签约组件
,,签订借款合同,签约组件
,,创建/更新正式客户,客户管理组件
,,创建/更新用信信息,用信管理组件
,,创建/更新授信信息同步额度,授信管理组件
,,创建/更新评级信息,评级管理组件
,,创建/更新合同信息,合同管理组件
,,更新签约状态,签约组件
,,更新进件状态,进件管理组件
放款组件,6、客户发起提款申请,发起提款申请填写提款申请信息,放款组件
,,输入提款密码,安全组件
,,客户风控准入,智能决策组件
,,人脸识别操作,人脸识别组件
,,查看需要签订的合同,签约组件
,,加载查看合同模板,合同（协议）模版管理组件
,,验证短信验证码,消息中心组件
,,签订授权协议（服务）,签约组件
,,签订放款申请书完成调用核心系统放款,核心系统
,,更新进件信息,进件管理组件
,7、涉及受托支付的需要人工审批,,放款组件
还款组件,8、客户发起还款申请,,还款组件
