长沙银行-税E贷,,,
所属组件,业务阶段,业务步骤,被调用组件
预授信组件,1、预授信申请,场景1、客户经理维护预产品授信白名,智能决策组件
,,场景2、外部数据平台推送产品授信白名单客户,智能决策组件
用户注册组件,2、客户注册认证（可选操作）,客户注册,用户注册组件
,,认证操作,用户注册组件
营销方案管理组件,3、客户查询产品信息,产品列表查询,营销方案管理组件
,,产品详情查看,营销方案管理组件
,,查询利率优惠券（服务）,利率组件
,,查询额度可用金额（服务）,额度管理组件
,,查询合同可用金额（服务）,合同管理组件
,,查询产品最高可贷额度（服务）,产品管理组件
客户授权准入组件,4、客户授权准入,产品详情查看页面中点击授权申请,客户授权准入组件
,,"查看需要授权的文件（服务）
征信查询授权
公积金查询授权",授权配置管理组件
,,加载查看协议文件,合同（协议）模版管理组件
,,验证短信验证码,消息中心组件
,,签订授权协议（服务）,签约组件
,,提交授权准入申请,智能决策组件
,,返回授权准入结果,客户授权准入组件
授信管理组件,5、客户发起授信申请,初始化授信申请页面,营销方案管理组件
,,填写贷款申请信息,贷款申请组件
,,上传身份证件信息,公安系统联网核查
,,验证短信验证码,
,,人脸识别操作,人脸识别组件
,,提交授信申请操作,进件管理组件
股东会决议组件,6、企业负责人发起股东会授权决议申请,查询工商司法数据返回股东成员,外部数据平台
,,发送股东会授权决议签约,短信平台
进件管理组件,6、系统进件接收,进件接收,进件管理组件
,,系统创建客户,客户管理组件
,,客户风控准入,智能决策组件
,,调用评级模型生成评级结果,评级管理组件
,,测算额度结果保存额度信息,智能决策组件
,,初始化授信申请信息,授信管理组件
,,初始化用信申请信息,用信管理组件
,,客户经理手工受理进件信息,进件管理组件
客户管理组件,7、客户经理补录客户信息,填写客户信息,客户管理组件
,,保存客户信息,
授信管理组件,8、客户经理发起利率调整,利率调整发起,
,,利率调整审批生效,
,9、客户经理发起额度调整,额度调整发起,
,,额度调整审批生效,
,10、客户经理发起额度激活,额度激活发起,
,,额度激活审批生效,
授信管理组件,11、客户经理线下办理三合一任务,评级信息填写,评级管理组件
,,授信信息填写,授信管理组件
,,测算额度结果,智能决策组件
,,用信信息填写,用信管理组件
,,客户风控准入,智能决策组件
,,三合一业务提交,授信管理组件
,12、有权审批人进行业务审查审批,业务审批完成,授信管理组件
,,生成授信合同信息,合同管理组件
,,生成授信签约任务,签约组件
签约组件,13、客户在线签定授信合同信息,发起签约任务,签约组件
,,客户风控准入,智能决策组件
,,人脸识别操作,人脸识别组件
,,查看需要签订的合同,签约组件
,,加载查看合同模板,合同（协议）模版管理组件
,,验证短信验证码,消息中心组件
,,签订授权协议（服务）,签约组件
,,签订借款合同,签约组件
,,更新用信信息,用信管理组件
,,更新授信信息同步额度,授信管理组件
,,更新评级信息,评级管理组件
,,更新合同信息,合同管理组件
,,更新签约状态,签约组件
,,更新进件状态,进件管理组件
放款组件,14、客户发起提款申请,发起提款申请填写提款申请信息,放款组件
,,输入提款密码,安全组件
,,客户风控准入,智能决策组件
,,人脸识别操作,人脸识别组件
,,验证短信验证码,消息中心组件
,,签订放款申请书完成调用核心系统放款,核心系统
,,更新进件信息,进件管理组件
,15、涉及受托支付的需要人工审批,,放款组件
还款组件,16、客户发起还款申请,,还款组件
,,,
